city_id,city,country,citation_sum,p_count,lat,lon,population,gdp_per_capita,time_zone,safety_index
3098,Charsadda,Pakistan,3,1,34.1461506,71.7337464,,,,
3099,Surakarta,Indonesia,5,1,-7.5692489,110.828448,,,,
3100,Caxias do Sul,Brazil,60,1,-29.1685045,-51.1796385,,,,
3101,Freiberg,Germany,4,1,50.9169415,13.3428889,,,,
3102,Xinyang,China,35,1,32.075,114.853333,,,,
3103,Symonston,Australia,48,1,-35.3488407,149.1600894,,,,
3104,Terre Haute,United States,48,1,39.4667025,-87.4139119,,,,
3105,Cayenne,French Guiana,15,1,4.9371544,-52.3258736,,,,
3106,Takamatsu,Japan,11,1,34.3425592,134.0465338,,,,
3107,Hakodate,Japan,6,1,41.768793,140.729008,,,,
3108,Duhok,Iraq,130,2,36.8542598,42.9924528,,,,
3109,Ayudhya,Thailand,6,1,7.7364661,98.7765957,,,,
3110,Zhumadian,China,89,1,33.0115818,114.0164565,,,,
3111,Nampula,Mozambique,146,1,-14.966969,39.2707752,,,,
3112,Arequipa,Peru,146,1,-16.3988667,-71.5369607,,,,
3113,Port Moresby,Papua New Guinea,146,1,-9.4743301,147.1599504,,,,
3114,Ndola,Zambia,146,1,-12.9693056,28.6365894,,,,
3115,Molepolole,Botswana,146,1,-24.4058025,25.5151645,,,,
3116,Maharagama,Sri Lanka,146,1,6.8472783,79.9266082,,,,
3117,Libreville,Gabon,146,1,0.4086518,9.4418849,,,,
3118,Quelimane,Mozambique,146,1,-17.87751,36.890216,,,,
3119,Gitarama,Rwanda,146,1,-2.0845106,29.7528767,,,,
3120,Niamey,Niger,146,1,13.524834,2.109823,,,,
3121,Adam Barka,Chad,146,1,13.8231096,20.8067724,,,,
3122,Mombasa,Kenya,146,1,-4.05052,39.667169,,,,
3123,Beira,Mozambique,146,1,-19.828707,34.841782,,,,
3124,Stockholn,Sweden,146,1,59.6749712,14.5208584,,,,
3125,"Siteki, Eswatini",Swaziland,146,1,-26.5624806,31.3991317,,,,
3126,Luanda,Angola,146,1,-8.8272699,13.2439512,,,,
3127,Dar Es Salaam,Tanzania,149,2,-6.8160837,39.2803583,,,,
3128,Lubumbashi,Democratic Republic Congo,146,1,-2.9814344,23.8222636,,,,
3129,Calabar,Nigeria,146,1,4.9795999,8.3373597,,,,
3130,Kamloops,Canada,7,1,50.6758269,-120.339415,,,,
3131,Semnan,Iran,36,1,35.3843145,54.6209302,,,,
3132,Sayo District,Japan,6,1,36.5748441,139.2394179,,,,
3133,Valence,France,6,1,44.9332277,4.8920811,,,,
3134,Sakakah,Saudi Arabia,5,1,29.9784008,40.2047701,,,,
3135,Downderry,United Kingdom,15,1,50.3619837,-4.3706938,,,,
3136,Cedar City,United States,80,1,37.6774238,-113.061827,,,,
3137,Bamberg,Germany,80,1,49.8916044,10.8868478,,,,
3138,Breukelen,Netherlands,80,1,52.171959,5.002675,,,,
3139,Frankfurt/Oder,Germany,80,1,52.3412273,14.549452,,,,
3140,Friday Harbor,United States,80,1,48.5342662,-123.017124,,,,
3141,Allendale,United States,80,1,32.9635006,-81.3400056,,,,
3142,Loughborough,United Kingdom,85,2,52.7723859,-1.2077985,,,,
3143,Abilene,United States,80,1,32.44645,-99.7475905,,,,
3144,Dartmouth,United States,80,1,41.6332267,-70.9879928,,,,
3145,Passau,Germany,80,1,48.5748229,13.4609744,,,,
3146,Orleans,France,57,3,47.9027336,1.9086066,,,,
3147,Mondragon,Spain,6,1,43.0656783,-2.4900779,,,,
